exit_time,strategy,ticker,event_ticker,side,entry_price,exit_price,peak_price,contracts,entry_fee,pnl,exit_reason,entry_time
2026-03-30T15:39:34.473954+00:00,watcher_prop_nba,KXNBAPTS-26MAR30DETOKC-OKCCHOLMGREN7-10,KXNBAPTS-26MAR30DETOKC,yes,84,77,84,1,0.01,-0.09,SL: -7c <= -6c | PNL=$-0.0900,2026-03-30T15:30:28.182684+00:00
2026-03-30T15:39:35.270508+00:00,watcher_prop_nba,KXNBAPTS-26MAR30MINDAL-MINJRANDLE30-15,KXNBAPTS-26MAR30MINDAL,yes,83,77,83,1,0.01,-0.08,SL: -6c <= -6c | PNL=$-0.0800,2026-03-30T15:30:32.570408+00:00
2026-03-30T15:39:40.737800+00:00,watcher_prop_nba,KXNBABLK-26MAR30CLEUTA-CLEEMOBLEY4-1,KXNBABLK-26MAR30CLEUTA,yes,83,75,83,1,0.01,-0.1,SL: -8c <= -6c | PNL=$-0.1000,2026-03-30T15:31:07.955218+00:00
2026-03-30T18:02:45.977796+00:00,watcher_prop_nba,KXNBAPTS-26MAR30PHIMIA-MIAAWIGGINS22-10,KXNBAPTS-26MAR30PHIMIA,yes,70,74,74,1,0.01,0.02,TIME: 90min > 90min | PNL=$0.0200,2026-03-30T16:32:44.819491+00:00
2026-03-30T18:02:48.745229+00:00,watcher_prop_nba,KXNBAPTS-26MAR30DETOKC-OKCJWILLIAMS8-15,KXNBAPTS-26MAR30DETOKC,yes,57,57,57,1,0.01,-0.02,TIME: 90min > 90min | PNL=$-0.0200,2026-03-30T16:32:47.727998+00:00
2026-03-30T18:02:49.027181+00:00,watcher_prop_nba,KXNBAPTS-26MAR30BOSATL-ATLNALEXANDERWALKER7-15,KXNBAPTS-26MAR30BOSATL,yes,67,67,67,1,0.01,-0.02,TIME: 90min > 90min | PNL=$-0.0200,2026-03-30T16:32:46.768611+00:00
2026-03-30T18:02:49.286775+00:00,watcher_prop_nba,KXNBAPTS-26MAR30DETOKC-OKCCHOLMGREN7-10,KXNBAPTS-26MAR30DETOKC,yes,84,84,84,1,0.01,-0.02,TIME: 90min > 90min | PNL=$-0.0200,2026-03-30T16:32:48.788650+00:00
2026-03-30T20:41:43.723564+00:00,watcher_prop_nba,KXNBAPTS-26MAR30DETOKC-OKCCHOLMGREN7-10,KXNBAPTS-26MAR30DETOKC,yes,79,79,83,1,0.01,-0.02,TRAIL: 79c <= 80c (peak=83c) | PNL=$-0.0200,2026-03-30T20:38:18.214266+00:00
2026-03-31T00:49:15.940300+00:00,watcher_single_prop,KXNBAPTS-26MAR30PHIMIA-PHIKOUBRE9-10,KXNBAPTS-26MAR30PHIMIA,yes,60,40,60,1,0.01,-0.22,SL: -20c <= -6c | PNL=$-0.2200,2026-03-31T00:47:35.914945+00:00
